1	Environmental	Aquatic	Unclassified	Marine	Unclassified	marine
1	Environmental	Aquatic	Neritic zone/Coastal water	Marine	Unclassified	Marine sediment
1	Environmental	Aquatic	Neritic zone/Coastal water	Marine	Unclassified	Marine sediment
1	Environmental	Aquatic	Saline	Non-marine Saline and Alkaline	Unclassified	Saline lake
1	Environmental	Aquatic	Cold seeps	Marine	Sediment	Sediment
1	Environmental	Aquatic	Cold seeps	Marine	Sediment	sediment
1	Environmental	Aquatic	Cold seeps	Marine	Sediment	sediment
1	Environmental	Aquatic	Cold seeps	Marine	Sediment	methane seep
1	Environmental	Aquatic	Cold seeps	Marine	Sediment	methane seep sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	marine sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	marine sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	marine sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	hydrothermal vent sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	hydrothermal vent sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	hydrothermal vent sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	hydrothermal vent sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	hydrothermal vent sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	hydrothermal vent sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	hydrothermal vent sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	hydrothermal vent sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Microbial mats	hydrothermal vent microbial mat
1	Environmental	Aquatic	Hydrothermal vents	Marine	Microbial mats	hydrothermal vent microbial mat
1	Environmental	Aquatic	Hydrothermal vents	Marine	Microbial mats	hydrothermal vent microbial mat
1	Environmental	Aquatic	Hydrothermal vents	Marine	Microbial mats	hydrothermal vent microbial mat
1	Environmental	Aquatic	Oil seeps	Marine	Unclassified	Marine
1	Environmental	Aquatic	Oil seeps	Marine	Unclassified	Marine
1	Environmental	Aquatic	Cold seeps	Marine	Sediment	Marine sediment
1	Environmental	Aquatic	Cold seeps	Marine	Sediment	marine sediment
1	Environmental	Aquatic	Mud volcano	Marine	Sediment	Sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	marine sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	marine sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	marine sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	marine sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	marine sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	marine sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	marine sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	marine sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	marine sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	marine sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	marine sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	marine sediment
1	Environmental	Aquatic	Cold seeps	Marine	Sediment	marine methanseep sediment
1	Environmental	Aquatic	Hydrothermal vents	Marine	Tubeworm bush	tubeworm bush
1	Environmental	Aquatic	Cold seeps	Marine	Sediment	Sediment
1	Environmental	Aquatic	Oil seeps	Marine	Unclassified	Marine
